accession	uniprot_optimized	cspa_optimized	gene_symbol	hgnc_id	hgnc_symbol	ncbi_gene_id	ensembl_gene	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_sources_surface	n_sources_optimized
A0A2R8YED5	1	0	OR5BS1	HGNC:19627	OR5BS1	390313	ENSG00000198678	1	0	0	0	0	1	1
A0A3B3IT45	1	0	OR51C1	HGNC:15191	OR51C1	401661	ENSG00000197674	1	0	0	0	0	1	1
A0A539	1	0						0	0	0	0	0	0	1
A0A576	1	0						0	0	0	0	0	0	1
A0A577	1	0						0	0	0	0	0	0	1
A0A578	1	0						0	0	0	0	0	0	1
A0A584	1	0						0	0	0	0	0	0	1
A0A589	1	0						0	0	0	0	0	0	1
A0A597	1	0						0	0	0	0	0	0	1
A0A599	1	0						0	0	0	0	0	0	1
A0A5A2	1	0						0	0	0	0	0	0	1
A0A5A6	1	0						0	0	0	0	0	0	1
A0A5B0	1	0						0	0	0	0	0	0	1
A0A5B6	1	0						0	0	0	0	0	0	1
A0A5B7	1	0						0	0	0	0	0	0	1
A0A5B9	1	0						0	1	0	0	0	1	2
A0A6I8PU40	1	0	TUG1	HGNC:26066	TUG1	55000	ENSG00000253352	1	0	0	0	0	1	1
A0AVI2	1	0	FER1L5	HGNC:19044	FER1L5	90342	ENSG00000249715	1	0	0	0	1	2	2
A0FGR8	1	0	ESYT2	HGNC:22211	ESYT2	57488	ENSG00000117868	0	1	0	0	1	2	3
A0FGR9	1	0	ESYT3	HGNC:24295	ESYT3	83850	ENSG00000158220	0	1	1	0	0	2	3
A0JD32	1	0						0	0	0	0	0	0	1
A0JD36	1	0						0	0	0	0	0	0	1
A0JD37	1	0						0	0	0	0	0	0	1
A0PJK1	1	0	SLC5A10	HGNC:23155	SLC5A10	125206	ENSG00000154025	1	0	1	0	0	2	2
A0PK05	1	0	TMEM72	HGNC:31658	TMEM72	643236	ENSG00000187783	0	0	0	0	0	0	1
A0PK11	1	0	CLRN2	HGNC:33939	CLRN2	645104	ENSG00000249581	0	0	1	0	0	1	2
A0ZSE6	1	0						1	0	1	0	0	2	2
A1A5B4	1	1	ANO9	HGNC:20679	ANO9	338440	ENSG00000185101	1	0	1	1	0	3	3
A1KXE4	1	0	FAM168B	HGNC:27016	FAM168B	130074	ENSG00000152102	1	0	0	0	0	1	1
A1KZ92	1	0	PXDNL	HGNC:26359	PXDNL	137902	ENSG00000147485	0	0	0	0	0	0	1
A1L1A6	1	0	IGSF23	HGNC:40040	IGSF23	147710	ENSG00000216588	0	0	0	0	1	1	2
A2NJV5	1	0						0	0	0	0	0	0	1
A2RUT3	1	0	TMEM89	HGNC:32372	TMEM89	440955	ENSG00000183396	1	0	0	0	0	1	1
A2VDJ0	1	1	TMEM131L	HGNC:29146	TMEM131L	23240	ENSG00000121210	1	0	1	1	0	3	3
A3KFT3	1	0	OR2M5	HGNC:19576	OR2M5	127059	ENSG00000162727	1	0	1	0	0	2	2
A4D0T7	1	0	SMIM30	HGNC:48953	SMIM30	401397	ENSG00000214194	1	0	0	0	0	1	1
A4D2G3	1	0	OR2A25	HGNC:19562	OR2A25	392138	ENSG00000221933	1	0	1	0	0	2	2
A5X5Y0	1	0	HTR3E	HGNC:24005	HTR3E	285242	ENSG00000186038	1	0	1	0	0	2	2
A6BM72	1	0	MEGF11	HGNC:29635	MEGF11	84465	ENSG00000157890	1	0	1	0	0	2	2
A6H8M9	1	0	CDHR4	HGNC:34527	CDHR4	389118	ENSG00000187492	1	0	1	0	0	2	2
A6NC51	1	0	TMEM150B	HGNC:34415	TMEM150B	284417	ENSG00000180061	1	0	1	0	0	2	2
A6NCV1	1	0	OR6C74	HGNC:31303	OR6C74	254783	ENSG00000197706	1	0	1	0	0	2	2
A6ND01	1	0	IZUMO1R	HGNC:32565	IZUMO1R	390243	ENSG00000183560	0	0	1	0	0	1	2
A6ND48	1	0	OR14I1	HGNC:19575	OR14I1	401994	ENSG00000189181	1	0	1	0	0	2	2
A6NDD5	1	0	SYNDIG1L	HGNC:32388	SYNDIG1L	646658	ENSG00000183379	1	0	0	0	0	1	1
A6NDH6	1	0	OR5H15	HGNC:31287	OR5H15	403274	ENSG00000233412	1	0	1	0	0	2	2
A6NDL8	1	0	OR6C68	HGNC:31297	OR6C68	403284	ENSG00000205327	1	0	1	0	0	2	2
A6NDV4	1	0	TMEM8B	HGNC:21427	TMEM8B	51754	ENSG00000137103	1	1	1	0	0	3	3
A6NDX4	1	0						1	0	0	0	0	1	1
A6NET4	1	0	OR5K3	HGNC:31290	OR5K3	403277	ENSG00000206536	1	0	1	0	0	2	2
A6NF34	1	0	ANTXRL	HGNC:27277	ANTXRL	195977	ENSG00000274209	1	1	1	0	0	3	3
A6NF89	1	0	OR6C6	HGNC:31293	OR6C6	283365	ENSG00000188324	1	0	1	0	1	3	3
A6NFA1	1	0	TRABD2B	HGNC:44200	TRABD2B	388630	ENSG00000269113	1	1	1	0	1	4	4
A6NFC9	1	0						0	0	0	0	0	0	1
A6NFU0	1	0	FAM187A	HGNC:35153	FAM187A	100528020	ENSG00000214447	1	0	0	0	0	1	1
A6NFX1	1	0	MFSD2B	HGNC:37207	MFSD2B	388931	ENSG00000205639	0	0	1	0	0	1	2
A6NGC4	1	0	TLCD2	HGNC:33522	TLCD2	727910	ENSG00000185561	0	0	0	0	0	0	1
A6NGN9	0	1	IGLON5	HGNC:34550	IGLON5	402665	ENSG00000142549	0	0	0	1	0	1	1
A6NGU5	1	0						1	0	1	0	0	2	2
A6NGY5	1	0	OR51F1	HGNC:15196	OR51F1	256892	ENSG00000280021	1	0	1	0	0	2	2
A6NGZ8	1	0	SMIM9	HGNC:41915	SMIM9	100132963	ENSG00000203870	1	0	0	0	0	1	1
A6NH00	1	0	OR2T8	HGNC:15020	OR2T8	343172	ENSG00000177462	1	0	1	0	0	2	2
A6NHA9	1	0	OR4C46	HGNC:31271	OR4C46	119749	ENSG00000185926	1	0	1	0	0	2	2
A6NHG9	1	0	OR5H14	HGNC:31286	OR5H14	403273	ENSG00000236032	1	0	1	0	0	2	2
A6NHS7	1	0	MANSC4	HGNC:40023	MANSC4	100287284	ENSG00000205693	1	0	1	0	0	2	2
A6NI61	1	0	MYMK	HGNC:33778	MYMK	389827	ENSG00000187616	1	0	0	0	0	1	1
A6NI73	1	1	LILRA5	HGNC:16309	LILRA5	353514	ENSG00000187116	1	1	1	1	0	4	4
A6NIJ9	1	0	OR6C70	HGNC:31299	OR6C70	390327	ENSG00000184954	1	0	1	0	0	2	2
A6NJW9	1	0	CD8B2	HGNC:1708	CD8B2	927	ENSG00000254126	1	0	1	0	0	2	2
A6NJZ3	1	0	OR6C65	HGNC:31295	OR6C65	403282	ENSG00000205328	1	0	1	0	0	2	2
A6NK97	1	0						1	0	1	0	0	2	2
A6NKC4	0	1						0	0	0	0	0	0	1
A6NKK0	1	0	OR5H1	HGNC:8346	OR5H1	26341	ENSG00000231192	1	0	1	0	0	2	2
A6NKX4	1	0	SLC22A31	HGNC:27091	SLC22A31	146429	ENSG00000259803	1	0	0	0	0	1	1
A6NL08	1	0	OR6C75	HGNC:31304	OR6C75	390323	ENSG00000187857	1	0	1	0	0	2	2
A6NL26	1	0	OR5B21	HGNC:19616	OR5B21	219968	ENSG00000198283	1	0	1	0	0	2	2
A6NL88	1	0	SHISA7	HGNC:35409	SHISA7	729956	ENSG00000187902	1	1	1	0	0	3	3
A6NLE4	1	0	SMIM23	HGNC:34440	SMIM23	644994	ENSG00000185662	1	0	0	0	0	1	1
A6NLU5	1	0	VSTM2B	HGNC:33595	VSTM2B	342865	ENSG00000187135	1	0	0	0	0	1	1
A6NLX4	1	0	TMEM210	HGNC:34059	TMEM210	100505993	ENSG00000185863	1	0	0	0	0	1	1
A6NM03	1	0	OR2AG2	HGNC:15143	OR2AG2	338755	ENSG00000188124	1	0	1	0	0	2	2
A6NM10	1	0	AQP12B	HGNC:6096	AQP12B	653437	ENSG00000185176	1	0	0	0	0	1	1
A6NM11	1	0	LRRC37A2	HGNC:32404	LRRC37A2	474170	ENSG00000238083	1	0	1	0	0	2	2
A6NM45	1	0	CLDN24	HGNC:37200	CLDN24	100132463	ENSG00000185758	1	0	1	0	0	2	2
A6NM76	1	0	OR6C76	HGNC:31305	OR6C76	390326	ENSG00000185821	1	0	1	0	0	2	2
A6NMB1	1	0	SIGLEC16	HGNC:24851	SIGLEC16	400709	ENSG00000161643	1	0	1	0	0	2	2
A6NMD0	1	0	IFITM10	HGNC:40022	IFITM10	402778	ENSG00000244242	1	0	0	0	0	1	1
A6NMS3	1	0	OR5K4	HGNC:31291	OR5K4	403278	ENSG00000196098	1	0	1	0	0	2	2
A6NMS7	1	0	LRRC37A	HGNC:29069	LRRC37A	9884	ENSG00000176681	1	0	1	0	0	2	2
A6NMU1	1	0						1	0	1	0	0	2	2
A6NMZ5	1	0	OR4C45	HGNC:31270	OR4C45	403257	ENSG00000260811	1	0	1	0	0	2	2
A6NMZ7	0	1	COL6A6	HGNC:27023	COL6A6	131873	ENSG00000206384	0	0	0	1	0	1	1
A6NN92	1	0	GJE1	HGNC:33251	GJE1	100126572	ENSG00000203733	1	1	0	0	0	2	2
A6NNB3	1	0	IFITM5	HGNC:16644	IFITM5	387733	ENSG00000206013	1	0	0	0	1	2	2
A6NND4	1	0	OR2AT4	HGNC:19620	OR2AT4	341152	ENSG00000171561	1	0	1	0	0	2	2
A8K4G0	1	0	CD300LB	HGNC:30811	CD300LB	124599	ENSG00000178789	1	0	0	0	1	2	2
A8K7I4	1	0	CLCA1	HGNC:2015	CLCA1	1179	ENSG00000016490	0	0	0	0	0	0	1
A8MPY1	1	0	GABRR3	HGNC:17969	GABRR3	200959	ENSG00000183185	1	0	1	0	0	2	2
A8MUP6	1	0	GSG1L2	HGNC:51826	GSG1L2	644070	ENSG00000214978	1	0	1	0	0	2	2
A8MV81	1	0	HIGD1C	HGNC:28044	HIGD1C	613227	ENSG00000214511	1	0	0	0	0	1	1
A8MVS5	1	0	C19orf38	HGNC:34073	C19orf38	255809	ENSG00000214212	1	0	1	0	0	2	2
A8MVW0	1	1	FAM171A2	HGNC:30480	FAM171A2	284069	ENSG00000161682	1	0	1	1	0	3	3
A8MVW5	0	1	HEPACAM2	HGNC:27364	HEPACAM2	253012	ENSG00000188175	0	0	1	1	0	2	2
A8MVZ5	1	0						1	1	1	0	0	3	3
A8MWY0	1	1	ELAPOR2	HGNC:21945	ELAPOR2	222223	ENSG00000164659	1	0	1	1	0	3	3
A8MXK1	1	0	VSTM5	HGNC:34443	VSTM5	387804	ENSG00000214376	1	0	1	0	0	2	2
A8MYU2	1	0	KCNU1	HGNC:18867	KCNU1	157855	ENSG00000215262	1	0	0	0	1	2	2
A8TX70	0	1	COL6A5	HGNC:26674	COL6A5	256076	ENSG00000172752	0	0	0	1	0	1	1
B0FP48	1	0	UPK3BL1	HGNC:37278	UPK3BL1	100134938	ENSG00000267368	1	0	1	0	0	2	2
B0L3A2	1	0						1	0	0	0	0	1	1
B1AL88	1	0	NALF1	HGNC:33877	NALF1	728215	ENSG00000204442	0	0	0	0	0	0	1
B2RN74	1	0	OR11H12	HGNC:30738	OR11H12	440153	ENSG00000257115	1	0	1	0	0	2	2
B2RUZ4	1	0	SMIM1	HGNC:44204	SMIM1	388588	ENSG00000235169	1	1	0	0	0	2	2
B3SHH9	1	0	TMEM114	HGNC:33227	TMEM114	283953	ENSG00000232258	1	1	1	0	0	3	3
B4DJY2	1	0	TMEM233	HGNC:37219	TMEM233	387890	ENSG00000224982	1	0	0	0	0	1	1
B4DS77	1	0	SHISA9	HGNC:37231	SHISA9	729993	ENSG00000237515	1	1	1	0	0	3	3
B6A8C7	1	0	TARM1	HGNC:37250	TARM1	441864	ENSG00000248385	1	0	1	0	0	2	2
B6SEH8	1	0	ERVV-1	HGNC:26501	ERVV-1	147664	ENSG00000269526	1	0	1	0	0	2	2
B6SEH9	1	0	ERVV-2	HGNC:39051	ERVV-2	100271846	ENSG00000268964	1	0	1	0	0	2	2
B7U540	1	0	KCNJ18	HGNC:39080	KCNJ18	100134444	ENSG00000260458	1	0	0	0	0	1	1
B7Z8K6	1	0						0	0	0	0	0	0	1
B8ZZ34	1	0	SHISA8	HGNC:18351	SHISA8	440829	ENSG00000234965	1	1	1	0	0	3	3
B9EJG8	1	0	TMEM150C	HGNC:37263	TMEM150C	441027	ENSG00000249242	1	0	0	0	0	1	1
C9J069	1	0	AJM1	HGNC:37284	AJM1	389813	ENSG00000232434	1	0	0	0	1	2	2
C9JDP6	1	0	CLDN25	HGNC:37218	CLDN25	644672	ENSG00000228607	1	0	0	0	0	1	1
C9JI98	1	0	TMEM238	HGNC:40042	TMEM238	388564	ENSG00000233493	1	0	0	0	0	1	1
C9JQL5	1	0						1	0	0	0	0	1	1
D3W0D1	1	0	KLRF2	HGNC:37646	KLRF2	100431172	ENSG00000256797	1	0	1	0	0	2	2
E2RYF6	1	0	MUC22	HGNC:39755	MUC22	100507679	ENSG00000261272	1	0	1	0	0	2	2
E5RIL1	1	0	UPK3BL2	HGNC:53444	UPK3BL2	107983993	ENSG00000284981	1	0	0	0	0	1	1
E9PQX1	1	0	CATSPERH	HGNC:49389	CATSPERH	100130348	ENSG00000187066	1	1	0	0	0	2	2
F2Z333	1	0	FNDC10	HGNC:42951	FNDC10	643988	ENSG00000228594	1	0	1	0	0	2	2
F5H094	1	0	SLCO1B3-SLCO1B7	HGNC:54403	SLCO1B3-SLCO1B7	115072896	ENSG00000257046	1	1	0	0	0	2	2
G3V0H7	1	0						1	1	1	0	0	3	3
H3BQJ8	1	0	LY6L	HGNC:52284	LY6L	101928108	ENSG00000261667	0	0	0	0	0	0	1
H3BV60	1	0	TGFBR3L	HGNC:44152	TGFBR3L	100507588	ENSG00000260001	1	0	0	0	0	1	1
H7C241	1	0	CLDN34	HGNC:51259	CLDN34	100288814	ENSG00000234469	1	0	0	0	0	1	1
I3L273	1	0	GFY	HGNC:44663	GFY	100507003	ENSG00000261949	1	0	1	0	0	2	2
O00144	1	0	FZD9	HGNC:4047	FZD9	8326	ENSG00000188763	1	1	1	0	0	3	3
O00155	1	0	GPR25	HGNC:4480	GPR25	2848	ENSG00000170128	1	0	1	0	0	2	2
O00168	1	0	FXYD1	HGNC:4025	FXYD1	5348	ENSG00000266964	1	1	0	0	0	2	2
O00180	1	0	KCNK1	HGNC:6272	KCNK1	3775	ENSG00000135750	1	1	0	0	0	2	2
O00187	1	0	MASP2	HGNC:6902	MASP2	10747	ENSG00000009724	1	1	0	0	0	2	2
O00206	1	1	TLR4	HGNC:11850	TLR4	7099	ENSG00000136869	1	1	1	1	1	5	5
O00219	1	0	HAS3	HGNC:4820	HAS3	3038	ENSG00000103044	1	0	0	0	0	1	1
O00220	1	0	TNFRSF10A	HGNC:11904	TNFRSF10A	8797	ENSG00000104689	1	1	1	0	0	3	3
O00222	1	0	GRM8	HGNC:4600	GRM8	2918	ENSG00000179603	1	0	1	0	0	2	2
O00238	1	0	BMPR1B	HGNC:1077	BMPR1B	658	ENSG00000138696	1	1	0	0	0	2	2
O00241	1	1	SIRPB1	HGNC:15928	SIRPB1	10326	ENSG00000101307	1	1	1	1	0	4	4
O00254	1	0	F2RL2	HGNC:3539	F2RL2	2151	ENSG00000164220	1	0	1	0	0	2	2
O00270	1	0	GPR31	HGNC:4486	GPR31	2853	ENSG00000120436	1	0	1	0	0	2	2
O00299	1	0	CLIC1	HGNC:2062	CLIC1	1192	ENSG00000213719	0	0	0	0	0	0	1
O00300	0	1	TNFRSF11B	HGNC:11909	TNFRSF11B	4982	ENSG00000164761	0	0	0	1	0	1	1
O00322	1	0	UPK1A	HGNC:12577	UPK1A	11045	ENSG00000105668	1	1	1	0	0	3	3
O00337	1	0	SLC28A1	HGNC:11001	SLC28A1	9154	ENSG00000156222	1	1	1	0	1	4	4
O00341	1	0	SLC1A7	HGNC:10945	SLC1A7	6512	ENSG00000162383	1	0	1	0	0	2	2
O00391	0	1	QSOX1	HGNC:9756	QSOX1	5768	ENSG00000116260	0	0	1	1	0	2	2
O00398	1	1	P2RY10	HGNC:19906	P2RY10	27334	ENSG00000078589	1	0	1	1	0	3	3
O00400	1	0	SLC33A1	HGNC:95	SLC33A1	9197	ENSG00000169359	1	0	1	0	0	2	2
O00421	1	0	CCRL2	HGNC:1612	CCRL2	9034	ENSG00000121797	1	1	1	0	1	4	4
