uniprot_acc	source	status
Q8WY07	PDBe_ligand_sites	404
O43246	PDBe_ligand_sites	404
Q01650	PDBe_ligand_sites	200
Q92536	PDBe_ligand_sites	200
Q9UM01	PDBe_ligand_sites	200
Q9UHI5	PDBe_ligand_sites	200
P82251	PDBe_ligand_sites	200
P32418	PDBe_ligand_sites	200
Q9UPR5	PDBe_ligand_sites	404
P57103	PDBe_ligand_sites	404
P19634	PDBe_ligand_sites	200
Q9UBY0	PDBe_ligand_sites	404
P48764	PDBe_ligand_sites	200
O14745	PDBe_ligand_sites	200
Q15599	PDBe_ligand_sites	200
Q6AI14	PDBe_ligand_sites	404
Q14940	PDBe_ligand_sites	404
Q92581	PDBe_ligand_sites	200
O94813	PDBe_ligand_sites	200
O75094	PDBe_ligand_sites	404
O95415	PDBe_ligand_sites	404
Q99835	PDBe_ligand_sites	200
P17405	PDBe_ligand_sites	200
O60906	PDBe_ligand_sites	200
Q9BZZ2	PDBe_ligand_sites	404
P32247	PDBe_ligand_sites	200
O00161	PDBe_ligand_sites	404
P60880	PDBe_ligand_sites	200
P37840	PDBe_ligand_sites	200
O75324	PDBe_ligand_sites	404
P35613	PDBe_ligand_sites	200
Q13425	PDBe_ligand_sites	200
Q10588	PDBe_ligand_sites	200
P08294	PDBe_ligand_sites	200
Q92673	PDBe_ligand_sites	200
Q99523	PDBe_ligand_sites	200
Q10589	PDBe_ligand_sites	200
P35070	PDBe_ligand_sites	404
Q15506	PDBe_ligand_sites	404
P38567	PDBe_ligand_sites	200
P43251	PDBe_ligand_sites	404
Q96JI7	PDBe_ligand_sites	404
P20155	PDBe_ligand_sites	404
O43278	PDBe_ligand_sites	200
O43291	PDBe_ligand_sites	200
P49223	PDBe_ligand_sites	404
P16150	PDBe_ligand_sites	404
Q08629	PDBe_ligand_sites	404
P35326	PDBe_ligand_sites	404
Q9BYE4	PDBe_ligand_sites	404
P12931	PDBe_ligand_sites	200
P78539	PDBe_ligand_sites	404
P10155	PDBe_ligand_sites	404
P28290	PDBe_ligand_sites	404
Q14714	PDBe_ligand_sites	404
P43307	PDBe_ligand_sites	404
P30872	PDBe_ligand_sites	200
P30874	PDBe_ligand_sites	200
P32745	PDBe_ligand_sites	404
P31391	PDBe_ligand_sites	200
P35346	PDBe_ligand_sites	200
Q9Y5Y6	PDBe_ligand_sites	200
O95980	PDBe_ligand_sites	404
Q13007	PDBe_ligand_sites	200
Q13410	PDBe_ligand_sites	404
Q7KYR7	PDBe_ligand_sites	200
Q8WVV5	PDBe_ligand_sites	404
Q9UHE8	PDBe_ligand_sites	200
O00481	PDBe_ligand_sites	200
Q13586	PDBe_ligand_sites	200
P31948	PDBe_ligand_sites	200
P78410	PDBe_ligand_sites	200
O14965	PDBe_ligand_sites	200
O00478	PDBe_ligand_sites	200
Q9UIR0	PDBe_ligand_sites	404
P08842	PDBe_ligand_sites	200
Q6UXE8	PDBe_ligand_sites	404
Q16623	PDBe_ligand_sites	404
Q13277	PDBe_ligand_sites	404
Q12846	PDBe_ligand_sites	404
