hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	source	evidence_tier	cellphonedb_denominator_member	therasabdab_denominator_member	antibody_evidence	extracellular
HGNC:11050	SLC6A4	P31645	ENSG00000108576	6532	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11052	SLC6A6	P31641	ENSG00000131389	6533	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11056	SLC6A9	P48067	ENSG00000196517	6536	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11068	SLC8A1	P32418	ENSG00000183023	6546	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11138	SNCA	P37840	ENSG00000145335	6622	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1116	BSG	P35613	ENSG00000172270	682	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11217	SPAM1	P38567	ENSG00000106304	6677	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11331	SSTR2	P30874	ENSG00000180616	6752	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:11344	ST14	Q9Y5Y6	ENSG00000149418	6768	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1136	BTN2A1	Q7KYR7	ENSG00000112763	11120	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11378	STEAP1	Q9UHE8	ENSG00000164647	26872	SAbDab: antibody contacts	mapped	0	1	1	0
HGNC:1138	BTN3A1	O00481	ENSG00000026950	11119	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1139	BTN3A2	P78410	ENSG00000186470	11118	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11393	AURKA	O14965	ENSG00000087586	6790	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11530	TACSTD2	P09758	ENSG00000184292	4070	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:11699	SERINC3	Q13530	ENSG00000132824	10955	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11724	TEK	Q02763	ENSG00000120156	7010	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11760	TFPI	P10646	ENSG00000003436	7035	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11765	TGFA	P01135	ENSG00000163235	7039	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11766	TGFB1	P01137	ENSG00000105329	7040	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11769	TGFB3	P10600	ENSG00000119699	7043	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11801	THY1	P04216	ENSG00000154096	7070	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11876	TMPRSS2	O15393	ENSG00000184012	7113	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11892	TNF	P01375	ENSG00000232810	7124	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11913	TNFRSF17	Q02223	ENSG00000048462	608	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11914	TNFRSF18	Q9Y5U5	ENSG00000186891	8784	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11917	TNFRSF1B	P20333	ENSG00000028137	7133	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11918	TNFRSF4	P43489	ENSG00000186827	7293	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11919	CD40	P25942	ENSG00000101017	958	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11920	FAS	P25445	ENSG00000026103	355	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11922	CD27	P26842	ENSG00000139193	939	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11924	TNFRSF9	Q07011	ENSG00000049249	3604	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11925	TNFSF10	P50591	ENSG00000121858	8743	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11927	TNFSF12	O43508	ENSG00000239697	8742	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:11929	TNFSF13B	Q9Y275	ENSG00000102524	10673	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:11935	CD40LG	P29965	ENSG00000102245	959	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:12019	TPSAB1	Q15661	ENSG00000172236	7177	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12027	TRA	P0DSE1		6955	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12155	TRB	P0DSE2		6957	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12335	TRPC3	Q13507	ENSG00000138741	7222	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12373	TSHR	P16473	ENSG00000165409	7253	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1242	C1QB	P02746	ENSG00000173369	713	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:125	ACP3	P15309	ENSG00000014257	55	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12681	VEGFB	P49765	ENSG00000173511	7423	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:12692	VIM	P08670	ENSG00000026025	7431	SAbDab: antibody contacts	mapped	0	1	1	0
HGNC:1318	C3	P01024	ENSG00000125730	718	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:1319	C3AR1	Q16581	ENSG00000171860	719	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:1323	C4A	P0C0L4	ENSG00000244731	720	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:13299	LGR4	Q9BXB1	ENSG00000205213	55366	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:13300	GPR61	Q9BZJ8	ENSG00000156097	83873	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1331	C5	P01031	ENSG00000106804	727	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:13310	GPRC5D	Q9NZD1	ENSG00000111291	55507	SAbDab: antibody contacts	mapped	0	1	1	0
HGNC:13356	MCOLN1	Q9GZU1	ENSG00000090674	57192	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1339	C6	P13671	ENSG00000039537	729	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:13557	ACE2	Q9BYF1	ENSG00000130234	59272	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1358	C9	P02748	ENSG00000113600	735	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1371	CA12	O43570	ENSG00000074410	771	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1383	CA9	Q16790	ENSG00000107159	768	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:13877	TTYH2	Q9BSA4	ENSG00000141540	94015	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:13886	ABCG5	Q9H222	ENSG00000138075	64240	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:13887	ABCG8	Q9H221	ENSG00000143921	64241	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:13935	LY6G6D	O95868	ENSG00000244355	58530	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:13937	MPIG6B	O95866	ENSG00000204420	80739	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:14388	GP6	Q9HCN6	ENSG00000088053	51206	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1514	CASR	P41180	ENSG00000036828	846	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:15527	KLB	Q86Z14	ENSG00000134962	152831	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:15582	MUC16	Q8WXI7	ENSG00000181143	94025	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:15626	FCGR2C	P31995	ENSG00000244682	9103	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1565	ACKR2	O00590	ENSG00000144648	1238	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:15757	SIRPG	Q9P1W8	ENSG00000089012	55423	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:16028	IL33	O95760	ENSG00000137033	90865	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1605	CCR4	P51679	ENSG00000183813	1233	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1609	CCR8	P51685	ENSG00000179934	1237	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:16266	SLC19A3	Q9BZV2	ENSG00000135917	80704	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1633	CD19	P15391	ENSG00000177455	930	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1637	CD1D	P15813	ENSG00000158473	912	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1643	CD22	P20273	ENSG00000012124	933	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:16442	P2RY14	Q15391	ENSG00000174944	9934	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:16517	TMPRSS6	Q8IU80	ENSG00000187045	164656	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1653	CD28	P10747	ENSG00000178562	940	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1659	CD33	P20138	ENSG00000105383	945	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1665	SCARB2	Q14108	ENSG00000138760	950	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1667	CD38	P28907	ENSG00000004468	952	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:16692	CD320	Q9NPF0	ENSG00000167775	51293	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:16709	CALCRL	Q16602	ENSG00000064989	10203	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1674	CD3E	P07766	ENSG00000198851	916	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1678	CD4	P01730	ENSG00000010610	920	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:16798	RAET1L	Q5VY80	ENSG00000155918	154064	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1682	CD47	Q08722	ENSG00000196776	961	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1692	CD63	P08962	ENSG00000135404	967	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:16948	MYDGF	Q969H8	ENSG00000074842	56005	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1701	CD81	P60033	ENSG00000110651	975	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:17032	VSIG4	Q9Y279	ENSG00000155659	11326	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1706	CD8A	P01732	ENSG00000153563	925	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:17087	ICOSLG	O75144	ENSG00000160223	23308	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1709	CD9	P21926	ENSG00000010278	928	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:171	ACVR1	Q04771	ENSG00000115170	90	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1711	ADGRE5	P48960	ENSG00000123146	976	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:173	ACVR2A	P27037	ENSG00000121989	92	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:174	ACVR2B	Q13705	ENSG00000114739	93	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1748	CDH1	P12830	ENSG00000039068	999	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1762	CDH3	P22223	ENSG00000062038	1001	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1765	CDH6	P55285	ENSG00000113361	1004	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:17734	TAAR1	Q96RJ0	ENSG00000146399	134864	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:17755	TNFRSF13C	Q96RJ3	ENSG00000159958	115650	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:17761	TREM2	Q9NZC2	ENSG00000095970	54209	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:1804	CD52	P31358	ENSG00000169442	1043	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:18358	IL17RC	Q8NAC3	ENSG00000163702	84818	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:18437	HAVCR2	Q8TDQ0	ENSG00000135077	84868	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:18788	KLRK1	P26718	ENSG00000213809	22914	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:188	ADAM10	O14672	ENSG00000137845	102	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1884	CFTR	P13569	ENSG00000001626	1080	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:19077	NCR3	O14931	ENSG00000204475	259197	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:19119	SLC5A8	Q8N695	ENSG00000256870	160728	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:19137	CD276	Q5ZPR3	ENSG00000103855	80381	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:195	ADAM17	P78536	ENSG00000151694	6868	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1951	CHRM2	P08172	ENSG00000181072	1129	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:1955	CHRNA1	P02708	ENSG00000138435	1134	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1957	CHRNA3	P32297	ENSG00000080644	1136	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1960	CHRNA7	P36544	ENSG00000175344	1139	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:1961	CHRNB1	P11230	ENSG00000170175	1140	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1962	CHRNB2	P17787	ENSG00000160716	1141	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1964	CHRNB4	P30926	ENSG00000117971	1143	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1965	CHRND	Q07001	ENSG00000135902	1144	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:1966	CHRNE	Q04844	ENSG00000108556	1145	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:19688	NECTIN4	Q96NY8	ENSG00000143217	81607	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:19858	TTC7B	Q86TV6	ENSG00000165914	145567	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2001	GREM1	O60565	ENSG00000166923	26585	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2039	CLDN18	P56856	ENSG00000066405	51208	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:20396	PILRA	Q9UKJ1	ENSG00000085514	29992	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:20434	TREML1	Q86YW5	ENSG00000161911	340205	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:2046	CLDN4	O14493	ENSG00000189143	1364	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:20566	SV2A	Q7L0J3	ENSG00000159164	9900	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:20974	ADGRL3	Q9HAR2	ENSG00000150471	23284	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:21087	BTLA	Q7Z6A9	ENSG00000186265	151888	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:21094	CALHM4	Q5JW98	ENSG00000164451	221301	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:21205	LINGO1	Q96FE5	ENSG00000169783	84894	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:2121	CMKLR1	Q99788	ENSG00000174600	1240	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:2159	CNR1	P21554	ENSG00000118432	1268	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:2170	CNTFR	P26992	ENSG00000122756	1271	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:2213	COL6A3	P12111	ENSG00000163359	1293	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:23029	DPEP3	Q9H4B8	ENSG00000141096	64180	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:23090	SLC15A4	Q8N697	ENSG00000139370	121260	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:23298	TSPAN15	O95858	ENSG00000099282	23555	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:23493	CALHM2	Q9HA72	ENSG00000138172	51063	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:23624	GPR151	Q8TDV0	ENSG00000173250	134391	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:23689	GPR158	Q5T848	ENSG00000151025	57512	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:23692	ACKR3	P25106	ENSG00000144476	57007	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:24040	ADIPOR1	Q96A54	ENSG00000159346	51094	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:24041	ADIPOR2	Q86V24	ENSG00000006831	79602	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:24235	CD200R1	Q8TD46	ENSG00000163606	131450	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:2433	CSF1R	P07333	ENSG00000182578	1436	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:2436	CSF2RB	P32927	ENSG00000100368	1439	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:24880	LYPD3	O95274	ENSG00000124466	27076	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:25143	SLC9B2	Q86UD5	ENSG00000164038	133308	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2518	CTNS	O60931	ENSG00000040531	1497	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:25588	SLC47A1	Q96FL8	ENSG00000142494	55244	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2561	CXCR4	P61073	ENSG00000121966	7852	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:25697	GSDMD	P57764	ENSG00000104518	79792	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2578	CYBB	P04839	ENSG00000165168	1536	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:263	ADORA2A	P29274	ENSG00000128271	135	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:26361	HEPACAM	Q14CZ8	ENSG00000165478	220296	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:268	ADORA3	P0DMS8	ENSG00000282608	140	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:26838	TIGIT	Q495A1	ENSG00000181847	201633	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:26992	SPNS2	Q8IVW8	ENSG00000183018	124976	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:2730	DDR1	Q08345	ENSG00000204580	780	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:2731	DDR2	Q16832	ENSG00000162733	4921	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:27596	SIGLEC15	Q6ZMC9	ENSG00000197046	284266	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:277	ADRA1A	P35348	ENSG00000120907	148	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:27960	SLC6A19	Q695T7	ENSG00000174358	340024	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:285	ADRB1	P08588	ENSG00000043591	153	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:286	ADRB2	P07550	ENSG00000169252	154	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:29480	LRG1	P02750	ENSG00000171236	116844	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:29602	PDPN	Q86YL7	ENSG00000162493	10630	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:30085	VSIR	Q9H7M9	ENSG00000107738	64115	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:3020	DRD1	P21728	ENSG00000184845	1812	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:3023	DRD2	P14416	ENSG00000149295	1813	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:3167	S1PR3	Q99500	ENSG00000213694	1903	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:31704	ASTL	Q6HA08	ENSG00000188886	431705	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:31713	CLEC12A	Q5QGZ9	ENSG00000172322	160364	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:3233	MEGF8	Q7Z7M0	ENSG00000105429	1954	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3236	EGFR	P00533	ENSG00000146648	1956	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:32789	GFRAL	Q6UXV0	ENSG00000187871	389400	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3309	ELANE	P08246	ENSG00000197561	1991	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:3350	ENO1	P06733	ENSG00000074800	2023	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:3356	ENPP1	P22413	ENSG00000197594	5167	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:336	AGTR1	P30556	ENSG00000144891	185	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:338	AGTR2	P50052	ENSG00000180772	186	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:3386	EPHA2	P29317	ENSG00000142627	1969	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:339	APLNR	P35414	ENSG00000134817	187	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:3416	EPOR	P19235	ENSG00000187266	2057	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:3431	ERBB3	P21860	ENSG00000065361	2065	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:3432	ERBB4	Q15303	ENSG00000178568	2066	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:3443	EREG	O14944	ENSG00000124882	2069	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:34550	IGLON5	A6NGN9	ENSG00000142549	402665	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:3535	F2	P00734	ENSG00000180210	2147	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:3538	F2RL1	P55085	ENSG00000164251	2150	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:3541	F3	P13726	ENSG00000117525	2152	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:3590	FAP	Q12884	ENSG00000078098	2191	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:3609	FCER1A	P12319	ENSG00000179639	2205	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3613	FCGR1A	P12314	ENSG00000150337	2209	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3616	FCGR2A	P12318	ENSG00000143226	2212	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3618	FCGR2B	P31994	ENSG00000072694	2213	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:3619	FCGR3A	P08637	ENSG00000203747	2214	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:3621	FCGRT	P55899	ENSG00000104870	2217	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:3689	FGFR2	P21802	ENSG00000066468	2263	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:3691	FGFR4	P22455	ENSG00000160867	2264	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:3788	FOLH1	Q04609	ENSG00000086205	2346	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:40	ABCB1	P08183	ENSG00000085563	5243	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:4039	FZD10	Q9ULW2	ENSG00000111432	11211	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:4040	FZD2	Q14332	ENSG00000180340	2535	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:4041	FZD3	Q9NPG1	ENSG00000104290	7976	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:4043	FZD5	Q13467	ENSG00000163251	7855	SAbDab: antibody contacts	mapped	0	0	1	1
