therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Sabatolimab	HAVCR2/TIM3	0	HAVCR2/TIM3	approved_symbol	HGNC:18437	
Sabestomig	PDCD1/CD279/PD1;HAVCR2/TIM3	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Sabestomig	PDCD1/CD279/PD1;HAVCR2/TIM3	1	HAVCR2/TIM3	approved_symbol	HGNC:18437	
Sabirnetug	APP	0	APP	approved_symbol	HGNC:620	
Sacituzumab	TACSTD2/TROP2/EGP1	0	TACSTD2/TROP2/EGP1	approved_symbol	HGNC:11530	
Safimestomig	IAP/CD47;PDL1/CD274	0	IAP/CD47	approved_symbol	HGNC:1682	
Safimestomig	IAP/CD47;PDL1/CD274	1	PDL1/CD274	approved_symbol	HGNC:17635	
Samalizumab	MOX2/CD200	0	MOX2/CD200	approved_symbol	HGNC:7203	
Samatatug	F3/CD142	0	F3/CD142	approved_symbol	HGNC:3541	
Samrotamab	LRRC15	0	LRRC15	approved_symbol	HGNC:20818	
Sarilumab	IL6R/CD126	0	IL6R/CD126	approved_symbol	HGNC:6019	
Sasanlimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Satralizumab	IL6R/CD126	0	IL6R/CD126	approved_symbol	HGNC:6019	
Satumomab	TAG72	0	TAG72	unresolved_or_nonprotein		
Secukinumab	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Selicrelumab	TNFRSF5/CD40	0	TNFRSF5/CD40	approved_symbol	HGNC:11919	
Semorinemab	MAPT	0	MAPT	approved_symbol	HGNC:6893	
Semzuvolimab	CD4	0	CD4	approved_symbol	HGNC:1678	
Seniprutug	TRBV9	0	TRBV9	approved_symbol	HGNC:12246	
Serclutamab	EGFR/ERBB1/HER1	0	EGFR/ERBB1/HER1	approved_symbol	HGNC:3236	
Seribantumab	ERBB3/HER3	0	ERBB3/HER3	approved_symbol	HGNC:3431	
Serplulimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Setoxaximab	Shiga Toxin Type 2	0	Shiga Toxin Type 2	unresolved_or_nonprotein		
Setrusumab	SOST	0	SOST	approved_symbol	HGNC:13771	
Sibeprenlimab	TNFSF13/CD256/APRIL	0	TNFSF13/CD256/APRIL	approved_symbol	HGNC:11928	
Sifalimumab	IFNA1	0	IFNA1	approved_symbol	HGNC:5417	
Sigvotatug	ITGB6	0	ITGB6	approved_symbol	HGNC:6161	
Silevimig	Rabies Lyssavirus Glycoprotein G epitope III;Rabies Lyssavirus Glycoprotein G epitope I	0	Rabies Lyssavirus Glycoprotein G epitope III	unresolved_or_nonprotein		
Silevimig	Rabies Lyssavirus Glycoprotein G epitope III;Rabies Lyssavirus Glycoprotein G epitope I	1	Rabies Lyssavirus Glycoprotein G epitope I	unresolved_or_nonprotein		
Siltartoxatug	Clostridium tetani tetanus toxin (TeNT)	0	Clostridium tetani tetanus toxin (TeNT)	unresolved_or_nonprotein		
Siltuximab	IL6	0	IL6	approved_symbol	HGNC:6018	
Simaravibart	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Simlukafusp	FAP	0	FAP	approved_symbol	HGNC:3590	
Simridarlimab	IAP/CD47;PDL1/CD274	0	IAP/CD47	approved_symbol	HGNC:1682	
Simridarlimab	IAP/CD47;PDL1/CD274	1	PDL1/CD274	approved_symbol	HGNC:17635	
Simtuzumab	LOXL2	0	LOXL2	approved_symbol	HGNC:6666	
Sintilimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Sipavibart	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Sirexatamab	DKK1	0	DKK1	approved_symbol	HGNC:2891	
Sirtratumab	SLITRK6	0	SLITRK6	approved_symbol	HGNC:23503	
Sirukumab	IL6	0	IL6	approved_symbol	HGNC:6018	
Socazolimab	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Sofituzumab	MUC16/CA125	0	MUC16/CA125	approved_symbol	HGNC:15582	
Solabafusp	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Solanezumab	APP	0	APP	approved_symbol	HGNC:620	
Solitomab	EPCAM/CD326;CD3E	0	EPCAM/CD326	approved_symbol	HGNC:11529	
Solitomab	EPCAM/CD326;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Solnerstotug	VSIR/VISTA/B7H5/PD1H/SISP1	0	VSIR/VISTA/B7H5/PD1H/SISP1	approved_symbol	HGNC:30085	
Solrikitug	TSLP	0	TSLP	approved_symbol	HGNC:30743	
Sonavibart	Influenza A HA	0	Influenza A HA	unresolved_or_nonprotein		
Sonelokimab1	IL17A;ALB	0	IL17A	approved_symbol	HGNC:5981	
Sonelokimab1	IL17A;ALB	1	ALB	approved_symbol	HGNC:399	
Sonelokimab2	IL17F	0	IL17F	approved_symbol	HGNC:16404	
Sonesitatug	CLDN18	0	CLDN18	approved_symbol	HGNC:2039	
Sotiburafusp	VEGFR-1	0	VEGFR-1	unresolved_or_nonprotein		
Sotigalimab	TNFRSF5/CD40	0	TNFRSF5/CD40	approved_symbol	HGNC:11919	
Sotevtamab	CLU	0	CLU	approved_symbol	HGNC:2095	
Sotrovimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Sovipostobart	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Spartalizumab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Spesolimab	IL36RN	0	IL36RN	approved_symbol	HGNC:15561	
Spevatamig	IAP/CD47;CLDN18	0	IAP/CD47	approved_symbol	HGNC:1682	
Spevatamig	IAP/CD47;CLDN18	1	CLDN18	approved_symbol	HGNC:2039	
Stamulumab	MSTN/GDF8/GDF-8/GDF8	0	MSTN/GDF8/GDF-8/GDF8	approved_symbol	HGNC:4223	
Stapokibart	IL4R/CD124	0	IL4R/CD124	approved_symbol	HGNC:6015	
Suciraslimab	SIGLEC2/CD22	0	SIGLEC2/CD22	approved_symbol	HGNC:1643	
Sudubrilimab	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Sugemalimab	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Suptavumab	Respiratory Syncytial Virus Glycoprotein F	0	Respiratory Syncytial Virus Glycoprotein F	unresolved_or_nonprotein		
Surovatamig	CD3D&CD3E;CD19	0	CD3D	complex_target_not_direct_subunit	HGNC:1673	
Surovatamig	CD3D&CD3E;CD19	0	CD3E	complex_target_not_direct_subunit	HGNC:1674	
Surovatamig	CD3D&CD3E;CD19	1	CD19	approved_symbol	HGNC:1633	
Surzebiclimab	HAVCR2/TIM3	0	HAVCR2/TIM3	approved_symbol	HGNC:18437	
Sutacimig	F7a/F7A/FVIIa/FVIIA;TREML1/GLTL1825/PRO3438/TLT-1/TLT1	0	F7a/F7A/FVIIa/FVIIA	reviewed_gene_product	HGNC:3544	
Sutacimig	F7a/F7A/FVIIa/FVIIA;TREML1/GLTL1825/PRO3438/TLT-1/TLT1	1	TREML1/GLTL1825/PRO3438/TLT-1/TLT1	approved_symbol	HGNC:20434	
Sutimlimab	C1S	0	C1S	approved_symbol	HGNC:1247	
Suvemcitug	VEGFA	0	VEGFA	approved_symbol	HGNC:12680	
Suvizumab	HIV-1 gp120	0	HIV-1 gp120	unresolved_or_nonprotein		
Suvonstobart	CD24	0	CD24	approved_symbol	HGNC:1645	
Suvratoxumab	Staphylococcus aureus Toxin A	0	Staphylococcus aureus Toxin A	unresolved_or_nonprotein		
