source	gene	pmid	pmc_id	doi	year	bucket	title
production	KCNJ12	38334076	PMC10885140	10.1021/jacs.3c09266	2024	pmc	Cooperative Gating of a K<sup>+</sup> Channel by Unmodified Biological Anionic Lipids Viewed by Soli
production	KCNJ12	37140824	PMC10229706	10.1007/s00399-023-00944-5	2023	pmc	Pleiotropic effects of NOACs with focus on edoxaban: scientific findings and potential clinical impl
production	KCNJ12	40940801	PMC12428614	10.3390/cells14171390	2025	pmc	Cardiac Development, Cellular Composition and Function: From Regulatory Mechanisms to Applications
production	KLRK1	41609721	PMC12856160	10.1099/jmm.0.002117	2026	pmc	SCFAs' pleiotropic role in pathogenesis and salutogenesis: mechanisms in exacerbation and regulation
production	KLRK1	42064075	PMC13125040	10.3389/fimmu.2026.1757205	2026	pmc	TLR2 activation potentiates P-glycoprotein-mediated methotrexate efflux and enhances cytotoxicity of
production	KLRK1	41963920	PMC13088527	10.1186/s12967-026-08097-y	2026	pmc	Radiation-induced MYB reduction unleashes TIM-3 expression in NK cells to attenuate antitumor immuni
production	KLRK1	37098070	PMC10160951	10.1073/pnas.2216342120	2023	pmc	Identification of small-molecule protein-protein interaction inhibitors for NKG2D
production	KLRK1	41484787	PMC12865976	10.1186/s12967-025-07650-5	2026	pmc	Targeting NKG2D/NKG2DL axis in cancer immunotherapy: mechanisms and therapeutic applications
production	KLRK1	41777878	PMC12950532	10.3389/fimmu.2026.1754394	2026	pmc	Case Report: Novel &lt;i&gt;MAGT1&lt;/i&gt; pathogenic variant with significant atopy, hypogammaglob
production	KLRK1	37987319	PMC10660693	10.3390/hematolrep15040063	2023	pmc	Chimeric Antigen Receptor T Cell Therapy in Acute Myeloid Leukemia: Trials and Tribulations
production	KLRK1	41988198	PMC13076314	10.3389/fimmu.2026.1765987	2026	pmc	Chemotherapy driven alterations in NK cell receptors and ligands in high grade serous ovarian cancer
production	KLRK1	41689667	PMC12909356	10.1007/s10238-026-02057-y	2026	pmc	The safety and efficacy of bispecific T-cell engagers (TCEs) in patients with glioma
production	KLRK1	41096812	PMC12524738	10.3390/ijms26199547	2025	pmc	Translational Insights into NK Immunophenotyping: Comparative Surface Marker Analysis and Circulatin
production	ZNF783	28514442	PMC5531611	10.1038/nature22366	2017	pmc	Architecture of the human interactome defines protein communities and disease networks
production	ZNF783	38590435	PMC10999490	10.1016/j.ncrna.2024.02.017	2024	pmc	Profiling of differentially expressed MicroRNAs in familial hypercholesterolemia via direct hybridiz
production	ZNF783	31856708	PMC6923878	10.1186/s12860-019-0243-y	2019	pmc	"DUF3669, a ""domain of unknown function"" within ZNF746 and ZNF777, oligomerizes and contributes to tr"
production	ZNF783	32196466	PMC8687405	10.1049/iet-syb.2019.0074	2020	pmc	Network-based computational approach to identify genetic links between cardiomyopathy and its risk f
production	ZNF783	40216826	PMC11992089	10.1038/s41598-025-95663-x	2025	pmc	TLR4 identified as a major depressive disorder gene signature mediating effects through multiple imm
production	ZNF783	24653623	PMC3937760	10.3978/j.issn.1000-9604.2014.01.01	2014	no_oa	MiR-182 is up-regulated and targeting Cebpa in hepatocellular carcinoma
production	ZNF783	11181995		10.1126/science.1058040	2001	no_oa	The sequence of the human genome
production	ZNF783	19413330		10.1021/ac9004309	2009	no_oa	Lys-N and trypsin cover complementary parts of the phosphoproteome in a refined SCX-based approach
production	ZNF783	41663970	PMC12983607	10.1186/s12872-026-05533-1	2026	pmc	Unraveling key genes and mitochondrial-related mechanisms of atherosclerosis severity: explorations 
production	ZNF783	41327353	PMC12777069	10.1186/s40001-025-03461-y	2025	pmc	Male infertility and the risk of developing prostate cancer: a bidirectional two-sample Mendelian ra
production	EPHB1	42196284	PMC13207882	10.3390/ijms27104300	2026	pmc	A Synaptogenesis-Associated Histomorphologic Signature from H&amp;E Whole-Slide Images Predicts Glio
production	EPHB1	38102712	PMC10722860	10.1186/s12964-023-01378-9	2023	pmc	Recurring EPHB1 mutations in human cancers alter receptor signalling and compartmentalisation of col
production	EPHB1	40981400	PMC12452221	10.1096/fj.202403229r	2025	pmc	Capicua Refines Mossy Fiber-CA3 Axon Targeting in the Late Postnatal Hippocampus
production	EPHB1	42023079	PMC13096901	10.1016/j.bbrep.2026.102587	2026	pmc	Integrated transcriptomic and proteomic validation identifies SLC35D3 as a tumor-selective surface a
production	EPHB1	41387095	PMC12948232	10.1002/advs.202511414	2026	pmc	Development of Endogenous Protein Probes for Characterizing Surface Proteins and Cellular Interactor
production	EPHB1	41912733	PMC13035603	10.1007/s10555-026-10333-2	2026	pmc	Tumor exosomes impact functional hallmarks of cancer
production	EPHB1	42196563	PMC13206950	10.3390/ijms27104587	2026	pmc	Optogenetic Regulation of Localization and Function of Serotonin Transporter by Modulating Its Inter
production	EPHB1	41557797	PMC12846838	10.1073/pnas.2520579123	2026	pmc	Liganded LolCDE structures reveal a common substrate-LolE interaction guiding bacterial lipoprotein 
production	EPHB1	41430718	PMC12751697	10.1186/s12964-025-02587-0	2025	pmc	Retinal pigment epithelium-derived extracellular vesicles mediate outer blood retinal barrier disrup
production	EPHB1	42018567	PMC13132459	10.1371/journal.pbio.3003777	2026	pmc	Structure of the human P2X3 receptor reveals the basis for subtype-selective inhibition by sivopixan
production	KCNA10	42029006	PMC13108966	10.7554/elife.108071	2026	pmc	The dual molecular identity of vestibular kinocilia bridges structural and functional traits of prim
