source	feature	feature_type	in_n	out_n	in_summary	out_summary	effect	effect_kind	effect_ci_lo	effect_ci_hi	aux_effect	aux_effect_kind	aux_effect_ci_lo	aux_effect_ci_hi	p_value	q_value
uniprot	fam_voltage_gated_channel	binary	2773	2683	0.023800937612693834	0.007081625046589639	0.016719312566104195	prop_diff			1.2107782049537987	log_or	0.7032014184509164	1.718354991456681	4.684684966248056e-07	1.0760135781851003e-06
uniprot	fam_ligand_gated_channel	binary	2773	2683	0.0	0.0	0.0	prop_diff			-0.03298814787840565	log_or	-3.9533474008455243	3.887371105088713	1.0	1.0
uniprot	fam_connexin	binary	2773	2683	0.007573025604038947	0.0	0.007573025604038947	prop_diff			3.735812438713611	log_or	0.9314040680083089	6.540220809418913	9.70762074853996e-07	2.1621518939929912e-06
uniprot	fam_claudin	binary	2773	2683	0.008294266137756943	0.0	0.008294266137756943	prop_diff			3.8254868010114293	log_or	1.0237907798140715	6.627182822208788	2.435175714748498e-07	5.682076667746496e-07
uniprot	fam_mhc_hla	binary	2773	2683	0.009376126938333935	0.004099888184867686	0.005276238753466249	prop_diff			0.8071206542443959	log_or	0.11296369521038074	1.5012776132784111	0.020272890283234226	0.030254973316095748
uniprot	fam_tnfrsf	binary	2773	2683	0.009376126938333935	0.0011181513231457323	0.008257975615188203	prop_diff			1.9996937014866245	log_or	0.8837199474267163	3.1156674555465327	1.556622134455215e-05	3.2003280246841485e-05
uniprot	fam_chemokine_ligand	binary	2773	2683	0.000721240533717995	0.0022363026462914647	-0.0015150621125734698	prop_diff			-0.9900166115653919	log_or	-2.4496317198945237	0.46959849676373966	0.17260476921376025	0.22755965089168392
uniprot	fam_chemokine_receptor	binary	2773	2683	0.00865488640461594	0.0003727171077152441	0.008282169296900696	prop_diff			2.768538127999501	log_or	1.1190848964460893	4.4179913595529126	1.5829983262771335e-06	3.473145581533412e-06
uniprot	fam_ras_gtpase	binary	2773	2683	0.0003606202668589975	0.009317927692881103	-0.008957307426022106	prop_diff			-2.875200730336345	log_or	-4.522789356512651	-1.2276121041600392	2.771597248438934e-07	6.416138512134225e-07
uniprot	fam_rho_gtpase	binary	2773	2683	0.0	0.002981736861721953	-0.002981736861721953	prop_diff			-2.869187125800146	log_or	-5.721900552348973	-0.016473699251318585	0.0034014471972528587	0.00540554311347211
uniprot	fam_arf_gtpase	binary	2773	2683	0.0	0.003727171077152441	-0.003727171077152441	prop_diff			-3.0812440228299263	log_or	-5.91882903365031	-0.24365901200954232	0.0008198878462780515	0.0013933354150621221
uniprot	fam_src_kinase	binary	2773	2683	0.0	0.002609019754006709	-0.002609019754006709	prop_diff			-2.743650290764063	log_or	-5.60690608613157	0.11960550460344344	0.006926190499936781	0.010717368457796913
uniprot	fam_g_protein_subunit	binary	2773	2683	0.0003606202668589975	0.012299664554603056	-0.011939044287744059	prop_diff			-3.151081469519518	log_or	-4.787717131203851	-1.5144458078351846	1.1786647359653333e-09	3.0666144457859116e-09
uniprot	schweke_homomer	binary	3087	3214	0.17881438289601556	0.194150591163659	-0.015336208267643425	prop_diff			-0.10103784515395525	log_or	-0.22793420261491465	0.025858512307004144	0.12065541662386021	0.16197576478271644
uniprot	up_length	continuous	3091	919	445.0	473.0	0.012517650140162706	cliffs_delta			-3.382136843635749	mean_diff			0.5639587974342708	0.6527712064790377
uniprot	up_tm_count	continuous	3091	919	4.0	0.0	0.6864328287854555	cliffs_delta			3.1044539783266316	mean_diff			3.7858299854731482e-233	1.2367044619212283e-231
uniprot	up_glyc_count	continuous	3091	919	2.0	0.0	0.5078846973680828	cliffs_delta			1.6149930173915705	mean_diff			7.525688715410234e-127	9.61979340143743e-126
uniprot	up_lipidation_count	continuous	3091	919	0.0	0.0	-0.20984225676777923	cliffs_delta			-0.2856747572456664	mean_diff			9.52178276192022e-72	6.9985103300113626e-71
