adcdb_tar_id	antigen_name	gene_symbol_inline
TAR0YCIMM	Alternative prion protein (PRNP); Major prion protein (PRNP)	PRNP
TAR0IUXCD	Transmembrane protein (novel epitope)	
TAR0IVFDY	E3 ubiquitin-protein ligase RNF43 (RNF43)	RNF43
TAR0URNCH	Hyaluronan mediated motility receptor (HMMR)	HMMR
TAR0QCJMM	Erythropoietin receptor (EPOR)	EPOR
TAR0OTZKD	Tumor necrosis factor receptor superfamily member 16 (NGFR)	NGFR
TAR0MFJRB	Trophoblast glycoprotein (TPBG); Hepatocyte growth factor receptor (MET)	MET
TAR0GEPAI	Hepatocyte growth factor receptor (MET); Hepatocyte growth factor receptor (MET)	MET
TAR0NFRAT	TNF receptor superfamily member 1B (TNFRSF1B)	TNFRSF1B
TAR0GJMYC	Haptoglobin-hemoglobin receptor (Tb06.28F21.220)	
TAR0SXQNS	Granulocyte colony-stimulating factor receptor (CSF3R)	CSF3R
TAR0OHKVL	Epidermal growth factor receptorn (EGFR C797S) (EGFR C797S)	
TAR0AWSZA	Tumor-specific glycan	
