gene_symbol	uniprot_id	uniprot_name	label_source	surfaceome_label	internal_compartment_hint	uniprot_subcellular	has_cell_membrane_uniprot	has_gpi_uniprot	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
CEACAM3	P40198	CEAM3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	71.2618	41.8	9.8	224.5812347903937	224.5812347903937
SLC5A3	P53794	SC5A3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	44.3118	27.1	111.2	223.7266877386217	223.7266877386217
GPR137	Q96N19	G137A_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	223.612	188.9	115.8	188.7054598132609	223.612
TNFRSF10D	Q9UBN6	TR10D_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	80.2781	17.2	223.5	154.93192977812097	223.5
SLC6A18	Q96N87	S6A18_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	0.708795	7.7	2.5	222.28911739064264	222.28911739064264
SLC45A4	Q5BKX6	S45A4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	26.7839	13.3	52.3	221.84273485610723	221.84273485610723
SLC8A2	Q9UPR5	NAC2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	221.68	99.2	59.7	168.475084217831	221.68
ERVV-2	B6SEH9	ERVV2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	0.168422	7.9	15.9	221.24384030742337	221.24384030742337
TSPAN17	Q96FV3	TSN17_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	48.0495	54.9	152.9	221.1978385193088	221.1978385193088
ITGAE	P38570	ITAE_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	25.3447	6.2	78.2	221.07521384022095	221.07521384022095
KCNMB1	Q16558	KCMB1_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	142.175	76.1	79.4	220.84547576117487	220.84547576117487
SLAMF8	Q9P0V8	SLAF8_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	18.3373	30.8	61.5	218.21302213081543	218.21302213081543
SLC7A4	O43246	CTR4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	36.2931	14.6	132.1	217.98625838543356	217.98625838543356
TSPAN5	P62079	TSN5_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	153.569	67.3	204.0	215.82128057595943	215.82128057595943
ICAM5	Q9UMF0	ICAM5_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	51.3824	22.8	80.4	215.6717358049318	215.6717358049318
TMEM62	Q0P6H9	TMM62_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	26.6951	21.5	63.5	213.8556115853217	213.8556115853217
SLC38A9	Q8NBW4	S38A9_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	11.7487	54.3	103.7	213.76668961298896	213.76668961298896
LILRA6	Q6PI73	LIRA6_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	212.783	16.2	0.7	210.2108225277215	212.783
DLK2	Q6UY11	DLK2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	15.5788	12.4	111.5	211.5409534729409	211.5409534729409
ZDHHC11	Q9H8X9	ZDH11_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	13.9608	14.9	50.9	211.40902788919232	211.40902788919232
TAS2R38	P59533	T2R38_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	0.205026	0.3	209.6	4.239986821819933	209.6
FAM171A1	Q5VUB5	F1711_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	137.466	97.5	106.8	209.16434034681825	209.16434034681825
SLC15A2	Q16348	S15A2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	19.8812	47.8	78.7	208.9469798146308	208.9469798146308
AQP10	Q96PS8	AQP10_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	2.37235	64.5	31.0	208.00769129529064	208.00769129529064
SLC39A10	Q9ULF5	S39AA_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	35.6734	45.2	184.7	205.97036905037868	205.97036905037868
SELE	P16581	LYAM2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	29.6699	52.2	4.8	205.11553701334708	205.11553701334708
ROBO3	Q96MS0	ROBO3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	58.3986	8.7	17.6	203.13470034675467	203.13470034675467
CRTAM	O95727	CRTAM_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	202.721	128.2	8.5	25.67947531213512	202.721
TMEM154	Q6P9G4	TM154_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	33.0093	45.7	27.7	201.8154552228866	201.8154552228866
SLC28A2	O43868	S28A2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	14.5335	86.9	167.2	201.74552308843775	201.74552308843775
SEMA5A	Q13591	SEM5A_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	28.5793	12.2	71.9	201.4241472539387	201.4241472539387
TIMD4	Q96H15	TIMD4_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	108.224	137.3	73.0	200.7133562433891	200.7133562433891
P2RX4	Q99571	P2RX4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	94.9092	35.5	84.6	200.64380600115985	200.64380600115985
SLC44A3	Q8N4M1	CTL3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	35.3066	33.3	86.1	200.32418516715785	200.32418516715785
