gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
CD46		CD46	direct_symbol	CD46	CD46	positive_surfaceome	patent_delivery_handles	no	yes	CD46	direct_symbol	yes	surface	machine learning	P15529	False	True	Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane (Single- pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
CDH17		CDH17	direct_symbol	CDH17	CDH17	positive_surfaceome	patent_delivery_handles	no	yes	CDH17	direct_symbol	yes	surface	pos. trainingset	Q12864	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
CEACAM5		CEACAM5	direct_symbol	CEACAM5	CEACAM5	positive_surfaceome	patent_delivery_handles	no	yes	CEACAM5	direct_symbol	yes	surface	GPI (UniProt)	P06731	True	True	Cell membrane (Lipid-anchor, GPI-anchor)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
CEACAM6		CEACAM6	direct_symbol	CEACAM6	CEACAM6	positive_surfaceome	patent_delivery_handles	no	yes	CEACAM6	direct_symbol	yes	surface	GPI (UniProt)	P40199	True	True	Cell membrane (Lipid-anchor, GPI-anchor)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
CLDN18		CLDN18	direct_symbol	CLDN18	CLDN18	positive_surfaceome	patent_delivery_handles	no	yes	CLDN18	direct_symbol	yes	surface	pos. trainingset	P56856	True	True	Cell junction, tight junction;Cell membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
DLK1		DLK1	direct_symbol	DLK1	DLK1	positive_surfaceome	patent_delivery_handles	no	yes	DLK1	direct_symbol	yes	surface	machine learning	P80370	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
ENPP3		ENPP3	direct_symbol	ENPP3	ENPP3	positive_surfaceome	patent_delivery_handles	no	yes	ENPP3	direct_symbol	no		machine learning	O14638	False	True	Membrane (Single-pass type II membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
EPCAM		EPCAM	direct_symbol	EPCAM	EpCAM (EPCAM)	positive_surfaceome	patent_delivery_handles	no	yes	EPCAM	direct_symbol	yes	surface	pos. trainingset	P16422	True	True	Cell junction, tight junction;Lateral cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
ERBB3		ERBB3	direct_symbol	ERBB3	HER3 (ERBB3)	positive_surfaceome	patent_delivery_handles	no	yes	ERBB3	direct_symbol	yes	surface	pos. trainingset	P21860	True	True	Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
GPR20		GPR20	direct_symbol	GPR20	GPR20	positive_surfaceome	patent_delivery_handles	no	yes	GPR20	direct_symbol	yes	surface	pos. trainingset	Q99678	True	True	Cell membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
