gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
IFNAR1	P17181	INAR1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	34.6015	32.4	36.9	89.95203166617226	89.95203166617226
LHFPL4	Q7Z7J7	LHPL4_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	36.3869	17.2	27.2	89.77139627519921	89.77139627519921
FAT3	Q8TDW7	FAT3_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	8.28333	13.6	89.4	34.00930408313154	89.4
SLC26A1	Q9H2B4	S26A1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	9.40915	17.4	27.9	88.24139238524302	88.24139238524302
TMEM211	Q6ICI0	TM211_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	6.4906	0.0	0.0	88.18024861302001	88.18024861302001
ROR1	Q01973	ROR1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	18.6001	23.1	44.9	88.02147300929282	88.02147300929282
DISP1	Q96F81	DISP1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	11.5418	8.5	18.4	87.9421924464813	87.9421924464813
PCDHB14	Q9Y5E9	PCDBE_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	11.912	6.7	36.1	87.85080360031426	87.85080360031426
USH2A	O75445	USH2A_HUMAN	surface	machine learning	False	False	False	False	False	Cell projection, stereocilium membrane (Single-pass type I membrane protein);Secreted	1.17079	17.8	87.8	37.19047343473869	87.8
LRRC19	Q9H756	LRC19_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	37.0341	40.0	10.3	87.58934824313059	87.58934824313059
IL31RA	Q8NI17	IL31R_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	1.98333	2.2	64.9	87.46194368509076	87.46194368509076
LRFN5	Q96NI6	LRFN5_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	12.1255	10.5	87.3	65.5388288347935	87.3
KIRREL3	Q8IZU9	KIRR3_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	21.204	26.6	49.3	87.21978077801866	87.21978077801866
ICOS	Q9Y6W8	ICOS_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein);Secreted	18.9945	18.8	87.1	26.24999133096641	87.1
LHCGR	P22888	LSHR_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	5.38056	2.1	15.0	86.71942969066546	86.71942969066546
SLC2A11	Q9BYW1	GTR11_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	41.1656	23.1	45.7	86.4793226182115	86.4793226182115
PRRT3	Q5FWE3	PRRT3_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	25.7364	14.3	37.0	86.25183669523344	86.25183669523344
PDCD1	Q15116	PDCD1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	27.854	15.0	60.0	86.19804615560673	86.19804615560673
GABRG3	Q99928	GBRG3_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)	2.69843	25.1	47.2	85.95938266311052	85.95938266311052
DCC	P43146	DCC_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	6.6914	7.2	85.1	59.41172273463975	85.1
BAI3	O60242	BAI3_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	31.9205	0.0	0.0	84.78769406726875	84.78769406726875
HCAR1	Q9BXC0	HCAR1_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	10.048	37.9	56.5	84.4884909024162	84.4884909024162
SIRPG	Q9P1W8	SIRPG_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	30.1093	36.4	83.3	83.6319762491631	83.6319762491631
DSCAM	O60469	DSCAM_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein);Secreted	8.83814	6.8	23.0	83.41776219977739	83.41776219977739
KLRB1	Q12918	KLRB1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type II membrane protein)	44.6588	44.6	83.3	45.12853473550048	83.3
TMEM178B	H3BS89	T178B_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	13.4896	11.2	56.0	83.06003823702456	83.06003823702456
SDK2	Q58EX2	SDK2_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	18.7614	9.1	53.2	82.81284065507039	82.81284065507039
NIPAL1	Q6NVV3	NIPA3_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	24.5245	24.3	30.2	82.73825143175893	82.73825143175893
GPR1	P46091	GPR1_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	14.353	0.0	0.0	82.62935724339478	82.62935724339478
ABCB11	O95342	ABCBB_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	22.0494	75.3	33.2	82.45199536798609	82.45199536798609
LY9	Q9HBG7	LY9_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	37.8977	29.2	82.4	72.08763865414363	82.4
GLRA4	Q5JXX5	GLRA4_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)	1.38391	0.0	0.0	82.26931144977488	82.26931144977488
P2RY13	Q9BPV8	P2Y13_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	70.7969	34.7	10.6	82.13256418187049	82.13256418187049
SLC4A10	Q6U841	S4A10_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	28.1007	54.0	81.6	82.12117884137201	82.12117884137201
SUSD1	Q6UWL2	SUSD1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	22.8106	14.4	46.2	82.12117884137201	82.12117884137201
KIAA1644	Q3SXP7	K1644_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	76.3277	0.0	0.0	81.72934957084257	81.72934957084257
GPR27	Q9NS67	GPR27_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	51.5995	36.2	39.7	81.58784430779188	81.58784430779188
CACNG5	Q9UF02	CCG5_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Membrane (Multi-pass membrane protein)	4.92654	14.6	81.2	56.17959504700925	81.2
LYSMD3	Q7Z3D4	LYSM3_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass membrane protein)	22.6519	22.5	42.9	80.86156151297567	80.86156151297567
THSD1	Q9NS62	THSD1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single- pass type I membrane protein);Membrane (Single- pass type I membrane protein);Secreted	20.1259	11.0	57.6	80.69918076667486	80.69918076667486
CCKAR	P32238	CCKAR_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	12.6423	27.3	67.9	80.60973101288832	80.60973101288832
MRGPRD	Q8TDS7	MRGRD_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	1.06211	0.6	10.9	80.60973101288832	80.60973101288832
RNF150	Q9ULK6	RN150_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	28.8856	29.7	80.2	51.871572015341165	80.2
HFE	Q30201	HFE_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	15.9164	14.5	69.1	79.89215512970317	79.89215512970317
